# Time-averaged data for fix myat2
# TimeStep v_press_x
46000 -63020.6
46100 -63358.4
46200 -63394.9
46300 -63684.5
46400 -63485.2
46500 -63491.6
46600 -64213.7
46700 -63890.4
46800 -63994.8
46900 -63984.8
47000 -64175.3
47100 -64185
47200 -64547.8
47300 -64573.1
47400 -64857.4
47500 -64945.5
47600 -65068.4
47700 -65186.9
47800 -65419.8
47900 -65242.5
48000 -65433.7
48100 -65667.8
48200 -65847.1
48300 -65808.7
48400 -66086.9
48500 -66029.7
48600 -66012.1
48700 -66261.9
48800 -66321.8
48900 -66219.8
49000 -66465.9
49100 -66646.5
49200 -66882.1
49300 -66798.2
49400 -67124
49500 -67076.5
49600 -67271.5
49700 -67370
49800 -67699.5
49900 -67555.2
50000 -67460.9
50100 -67650.4
50200 -67729.8
50300 -67753.1
50400 -68043.6
50500 -68184.8
50600 -68067.5
50700 -68369.6
50800 -68373.6
50900 -68489
51000 -68832.8
51100 -68748.5
51200 -68896.5
51300 -69128
51400 -69241.6
51500 -69233.3
51600 -69372.8
51700 -69205.4
51800 -69246.9
51900 -69463.6
52000 -69699.3
52100 -69817.6
52200 -69910.4
52300 -69616.2
52400 -69839
52500 -69576.1
52600 -69556.7
52700 -69531.5
52800 -69744
52900 -69855.1
53000 -69228.4
53100 -69323.8
53200 -69802.7
53300 -69402.8
53400 -69390
53500 -69360.4
53600 -69475.4
53700 -69509.7
53800 -68855.4
53900 -68907.9
54000 -68410.4
54100 -67406.6
54200 -66873.9
54300 -65903.7
54400 -64687.6
54500 -63197
54600 -60854.9
54700 -58458.6
54800 -55311.4
54900 -52005.6
55000 -49822.7
55100 -48495.9
55200 -47595.1
55300 -46606.7
55400 -46119.8
55500 -44637.6
55600 -42833.3
55700 -40352.9
55800 -38055.2
55900 -36047.6
56000 -35075.9
56100 -35362.3
56200 -34611.4
56300 -33515.1
56400 -33235.7
56500 -33327.2
56600 -33586.1
56700 -33773
56800 -33924.6
56900 -33321
57000 -32842.8
57100 -32744.1
57200 -32638.6
57300 -32317
57400 -32286.1
57500 -32353.3
57600 -32953.6
57700 -33216.1
57800 -33017.6
57900 -33085.5
58000 -32788.4
58100 -32826.9
58200 -33107.6
58300 -33338.5
58400 -33277.4
58500 -32686.6
58600 -31315.8
58700 -30484.2
58800 -30386.6
58900 -30404.5
59000 -30433.3
59100 -30339.5
59200 -29647.2
59300 -28749.8
59400 -28319.4
59500 -28079.7
59600 -27549.5
59700 -27552.2
59800 -27659.6
59900 -27881
60000 -27570.4
60100 -27319.4
60200 -26596.3
60300 -25626.2
60400 -24861.8
60500 -23873
60600 -23083.5
60700 -22000.1
60800 -20764.8
60900 -19818.5
61000 -18843.4
61100 -17687
61200 -16944.2
61300 -16177.1
61400 -14593.8
61500 -13733.5
61600 -13193.1
61700 -12124.2
61800 -10262.7
61900 -8907.68
62000 -8322.51
62100 -7526.89
62200 -6236.97
62300 -5854.64
62400 -4976.3
62500 -3726.53
62600 -2785.73
62700 -2600.89
62800 -3046.65
62900 -3177.8
63000 -3944.87
63100 -4732.07
63200 -4522.72
63300 -4417.57
63400 -3765.07
63500 -3294.1
63600 -3295.07
63700 -3642.35
63800 -3337.38
63900 -3004.57
64000 -2395.56
64100 -1881.27
64200 -1705.59
64300 -743.77
64400 -679.602
64500 -720.6
64600 -674.985
64700 -233.939
64800 -563.212
64900 -890.455
65000 -1084.24
65100 -1213.63
65200 -1136.3
65300 -931.499
65400 -625.4
65500 -517.451
65600 -793.872
65700 -1057.98
65800 -1028.31
65900 -133.715
66000 -208.876
66100 -796.723
66200 -885.956
66300 -1693.61
66400 -2703.89
66500 -2917.54
66600 -3317.74
66700 -3602.65
66800 -3822.2
66900 -3583.94
67000 -2857.23
67100 -2015.98
67200 -1560.92
67300 -1441.58
67400 -1222.4
67500 -1322.58
67600 -993.603
67700 -611.64
67800 230.533
67900 1098.07
68000 1374.46
68100 1700.31
68200 2399.28
68300 2982.88
68400 2890.23
68500 3027.47
68600 3067.96
68700 3323.87
68800 3831.67
68900 4870
69000 6459.4
69100 6907.84
69200 6632.95
69300 6650.68
69400 7478.27
69500 7728.8
69600 7905.48
69700 7633.99
69800 7085.25
69900 7215.81
70000 7231.29
70100 7287.8
70200 7528.46
70300 7051.21
70400 6859.36
70500 6668.02
70600 6727.77
70700 6525.33
70800 5898.57
70900 5393.59
71000 4902.98
71100 4646.88
71200 4930.23
71300 5407.13
71400 5268.79
71500 5288.92
71600 4790.57
71700 4363.7
71800 4239.08
71900 4032.61
72000 3556.38
72100 3504.14
72200 3400.61
72300 2914.23
72400 2947.9
72500 3512.58
72600 3731.12
72700 3238.38
72800 2737.3
72900 2113.04
73000 2077.61
73100 2359
73200 2560.24
73300 2394.75
73400 2343.25
73500 2052.26
73600 1538.14
73700 1251.02
73800 1379.78
73900 947.068
74000 722.663
74100 639.002
74200 547.198
74300 627.164
74400 316.288
74500 -281.148
74600 -407.986
74700 -173.119
74800 -363.896
74900 -797.312
75000 -926.925
75100 -774.556
75200 -1087.41
75300 -1439.95
75400 -1359.65
75500 -1697.99
75600 -1907.99
75700 -1575.25
75800 -1930.36
75900 -1785.51
76000 -2109.81
76100 -2398.03
76200 -2393.7
76300 -2519.89
76400 -2861.74
76500 -3201.6
76600 -3087.33
76700 -3399.41
76800 -3344.74
76900 -3436.24
77000 -3359.58
77100 -3599.92
77200 -3894.76
77300 -3602.45
77400 -3611.47
77500 -3279.91
77600 -3260.88
77700 -3276.12
77800 -3519.24
77900 -3606.57
78000 -4218.34
78100 -4325.02
78200 -4001.34
78300 -3832.56
78400 -4213.24
78500 -3900.2
78600 -3999.98
78700 -4489.28
78800 -4970.4
78900 -5279.63
79000 -5525.36
79100 -5486.66
79200 -5844.15
79300 -6113.13
79400 -6176.39
79500 -6633.21
79600 -6659.6
79700 -6570.84
79800 -6455.82
79900 -6742.21
80000 -7182.92
80100 -7711.17
80200 -7615.43
80300 -7856.91
80400 -7698.6
80500 -8042.93
80600 -8176.58
80700 -8185.3
80800 -8368.82
80900 -8486.35
81000 -8815.85
81100 -9090.7
81200 -9024.7
81300 -9300.48
81400 -9979.52
81500 -10506.5
81600 -10327.1
81700 -10344.2
81800 -10257.2
81900 -10589.1
82000 -10682.7
82100 -10753.1
82200 -10776.1
82300 -11424
82400 -11517.6
82500 -11937.5
82600 -11955.8
82700 -12215.9
82800 -12337.8
82900 -12626.9
83000 -12626.1
83100 -12472.5
83200 -13124.4
83300 -13054.1
83400 -13450.5
83500 -13838.3
83600 -13906.1
83700 -13917.1
83800 -14249.3
